Sex,WrHnd,NWHnd,WHnd,Fold,Pulse,Clap,Exer,Smoke,Height,MI,Age
Female,18.5,18,Right,R on L,92,Left,Some,Never,173,Metric,18.25
Male,19.5,20.5,Left,R on L,104,Left,None,Regular,177.8,Imperial,17.583
Male,18,13.3,Right,L on R,87,Neither,None,Occasional,,,16.917
Male,18.8,18.9,Right,R on L,,Neither,None,Never,160,Metric,20.333
Male,20,20,Right,Neither,35,Right,Some,Never,165,Metric,23.667
Female,18,17.7,Right,L on R,64,Right,Some,Never,172.72,Imperial,21
Male,17.7,17.7,Right,L on R,83,Right,Frequent,Never,182.88,Imperial,18.833
Female,17,17.3,Right,R on L,74,Right,Frequent,Never,157,Metric,35.833
Male,20,19.5,Right,R on L,72,Right,Some,Never,175,Metric,19
Male,18.5,18.5,Right,R on L,90,Right,Some,Never,167,Metric,22.333
Female,17,17.2,Right,L on R,80,Right,Frequent,Never,156.2,Imperial,28.5
Male,21,21,Right,R on L,68,Left,Frequent,Never,,,18.25
Female,16,16,Right,L on R,,Right,Some,Never,155,Metric,18.75
Female,19.5,20.2,Right,L on R,66,Neither,Some,Never,155,Metric,17.5
Male,16,15.5,Right,R on L,60,Right,Some,Never,,,17.167
Female,17.5,17,Right,R on L,,Right,Frequent,Never,156,Metric,17.167
Female,18,18,Right,L on R,89,Neither,Frequent,Never,157,Metric,19.333
Male,19.4,19.2,Left,R on L,74,Right,Some,Never,182.88,Imperial,18.333
Male,20.5,20.5,Right,L on R,,Left,Some,Never,190.5,Imperial,19.75
Male,21,20.9,Right,R on L,78,Right,Frequent,Never,177,Metric,17.917
Male,21.5,22,Right,R on L,72,Left,Frequent,Never,190.5,Imperial,17.917
Male,20.1,20.7,Right,L on R,72,Right,Frequent,Never,180.34,Imperial,18.167
Male,18.5,18,Right,L on R,64,Right,Frequent,Never,180.34,Imperial,17.833
Male,21.5,21.2,Right,R on L,62,Right,Some,Never,184,Metric,18.25
Female,17,17.5,Right,R on L,64,Left,Some,Never,,,19.167
Male,18.5,18.5,Right,Neither,90,Neither,Some,Never,,,17.583
Male,21,20.7,Right,R on L,90,Right,Some,Never,172.72,Imperial,17.5
Male,20.8,21.4,Right,R on L,62,Neither,Frequent,Never,175.26,Imperial,18.083
Male,17.8,17.8,Right,L on R,76,Neither,Frequent,Never,,,21.917
Male,19.5,19.5,Right,L on R,79,Right,Some,Never,167,Metric,19.25
Female,18.5,18,Right,R on L,76,Right,None,Occasional,,,41.583
Male,18.8,18.2,Right,L on R,78,Right,Frequent,Never,180,Metric,17.5
Female,17.1,17.5,Right,R on L,72,Right,Frequent,Heavy,166.4,Imperial,39.75
Male,20.1,20,Right,R on L,70,Right,Some,Never,180,Metric,17.167
Male,18,19,Right,L on R,54,Neither,Some,Regular,,,17.75
Male,22.2,21,Right,L on R,66,Right,Frequent,Occasional,190,Metric,18
Female,16,16.5,Right,L on R,,Right,Some,Never,168,Metric,19
Male,19.4,18.5,Right,R on L,72,Neither,Frequent,Never,182.5,Metric,17.917
Male,22,22,Right,R on L,80,Right,Some,Never,185,Metric,35.5
Male,19,19,Right,R on L,,Neither,Frequent,Occasional,171,Metric,19.917
Female,17.5,16,Right,L on R,,Right,Some,Never,169,Metric,17.5
Female,17.8,18,Right,R on L,72,Right,Some,Never,154.94,Imperial,17.083
Male,,,Right,R on L,60,,Some,Never,172,Metric,28.583
Female,20.1,20.2,Right,L on R,80,Right,Some,Never,176.5,Imperial,17.5
Female,13,13,,L on R,70,Left,Frequent,Never,180.34,Imperial,17.417
Male,17,17.5,Right,R on L,,Neither,Frequent,Never,180.34,Imperial,18.5
Male,23.2,22.7,Right,L on R,84,Left,Frequent,Regular,180,Metric,18.917
Male,22.5,23,Right,R on L,96,Right,None,Never,170,Metric,19.417
Female,18,17.6,Right,R on L,60,Right,Some,Occasional,168,Metric,18.417
Female,18,17.9,Right,R on L,50,Left,None,Never,165,Metric,30.75
Male,22,21.5,Left,R on L,55,Left,Frequent,Never,200,Metric,18.5
Male,20.5,20,Right,L on R,68,Right,Frequent,Never,190,Metric,17.5
Male,17,18,Right,L on R,78,Left,Some,Never,170.18,Imperial,18.333
Male,20.5,19.5,Right,L on R,56,Right,Frequent,Never,179,Metric,17.417
Male,22.5,22.5,Right,R on L,65,Right,Frequent,Regular,182,Metric,20
Male,18.5,18.5,Right,L on R,,Neither,Frequent,Never,171,Metric,18.333
Female,15.5,15.4,Right,R on L,70,Neither,None,Never,157.48,Imperial,17.167
Male,19.5,19.7,Right,R on L,72,Right,Frequent,Never,,,17.417
Male,19.5,19,Right,L on R,62,Right,Frequent,Never,177.8,Imperial,17.667
Male,20.6,21,Left,L on R,,Left,Frequent,Occasional,175.26,Imperial,18.417
Male,22.8,23.2,Right,R on L,66,Neither,Frequent,Never,187,Metric,20.333
Female,18.5,18.2,Right,R on L,72,Neither,Frequent,Never,167.64,Imperial,17.333
Female,19.6,19.7,Right,L on R,70,Right,Frequent,Never,178,Metric,17.5
Female,18.7,18,Left,L on R,,Left,None,Never,170,Metric,19.833
Female,17.3,18,Right,L on R,64,Neither,Frequent,Never,164,Metric,18.583
Male,19.5,19.8,Right,Neither,,Right,Frequent,Never,183,Metric,18
Female,19,19.1,Right,L on R,,Neither,Frequent,Never,172,Metric,30.667
Female,18.5,18,Right,R on L,64,Right,Frequent,Never,,,16.917
Male,19,19,Right,L on R,,Right,Some,Never,180,Metric,19.917
Male,21,19.5,Right,L on R,80,Left,None,,,,18.333
Female,18,17.5,Right,L on R,64,Left,Frequent,Never,170,Metric,17.583
Male,19.4,19.5,Right,R on L,,Right,Frequent,Heavy,176,Metric,17.833
Female,17,16.6,Right,R on L,68,Right,Some,Never,171,Metric,17.667
Female,16.5,17,Right,L on R,40,Left,Frequent,Never,167.64,Imperial,17.417
Female,15.6,15.8,Right,R on L,88,Left,Some,Never,165,Metric,17.75
Female,17.5,17.5,Right,Neither,68,Right,Frequent,Heavy,170,Metric,20.667
Female,17,17.6,Right,L on R,76,Right,Some,Never,165,Metric,23.583
Female,18.6,18,Right,L on R,,Neither,Frequent,Heavy,165.1,Imperial,17.167
Female,18.3,18.5,Right,R on L,68,Neither,Some,Never,165.1,Imperial,17.083
Male,20,20.5,Right,L on R,,Right,Frequent,Never,185.42,Imperial,18.75
Male,19.5,19.5,Left,R on L,66,Left,Some,Never,,,16.75
Male,19.2,18.9,Right,R on L,76,Right,Frequent,Never,176.5,Imperial,20.167
Female,17.5,17.5,Right,R on L,98,Left,Frequent,Never,,,17.667
Female,17,17.4,Right,R on L,,Neither,Some,Never,,,17.167
Male,23,23.5,Right,L on R,90,Right,Frequent,Never,167.64,Imperial,17.167
Female,17.7,17,Right,R on L,76,Right,Some,Never,167,Metric,17.25
Female,18.2,18,Right,L on R,70,Right,Some,Never,162.56,Imperial,18
Female,18.3,18.5,Right,R on L,75,Left,Frequent,Never,170,Metric,18.75
Male,18,18,Right,Neither,60,Right,Frequent,Never,179,Metric,21.583
Female,18,17.7,Left,R on L,92,Left,Some,Never,,,17.583
Male,20.5,20,Right,R on L,75,Left,Some,Never,183,Metric,19.667
Female,17.5,18,Right,Neither,,Right,Some,Never,,,18
Female,18.2,17.5,Right,L on R,70,Right,Some,Never,165,Metric,19.667
Female,18.2,18.5,Right,R on L,,Right,Some,Never,168,Metric,17.083
Male,21.3,20.8,Right,R on L,65,Right,Frequent,Heavy,179,Metric,22.833
Female,19,18.8,Right,L on R,,Right,Some,Never,,,17.083
Male,20,19.5,Right,R on L,68,Neither,Frequent,Regular,190,Metric,19.417
Female,17.5,17.5,Right,R on L,60,Right,Frequent,Never,166.5,Metric,23.25
Male,19.5,19.4,Right,Neither,,Right,Frequent,Never,165,Metric,18.083
Female,19.4,19.6,Right,R on L,68,Neither,Frequent,Never,175.26,Imperial,19.083
Male,21.9,22.2,Right,R on L,,Right,Some,Never,187,Metric,18.917
Male,18.9,19.1,Right,L on R,60,Neither,None,Never,170,Metric,17.75
Female,16,16,Right,Neither,,Right,Some,Never,159,Metric,20.833
Female,17.5,17.3,Right,R on L,72,Right,Frequent,Never,175,Metric,20.167
Female,17.5,17,Right,R on L,80,Left,Some,Heavy,163,Metric,17.667
Female,19.5,18.5,Right,R on L,80,Right,Some,Never,170,Metric,18.25
Female,16.2,16.4,Right,R on L,,Right,Frequent,Occasional,172,Metric,17
Female,17,15.9,Right,R on L,85,Right,Frequent,Never,,,18.5
Male,17.5,17.5,Right,L on R,64,Neither,Frequent,Never,180,Metric,18.583
Male,19.7,20.1,Right,R on L,67,Left,Some,Regular,180.34,Imperial,17.75
Female,18.5,18.5,Right,R on L,76,Left,Frequent,Never,175,Metric,24.167
Male,19.2,19.6,Right,L on R,80,Right,None,Never,190.5,Imperial,18.167
Female,17.2,16.7,Right,R on L,75,Right,Frequent,Never,170.18,Imperial,21.167
Male,20.5,21,Right,R on L,60,Right,Frequent,Never,185,Metric,17.917
Female,16,15.5,Right,L on R,60,Left,Frequent,Never,162.56,Imperial,17.417
Female,16.9,16,Right,L on R,70,Right,None,Never,158,Metric,20.5
Female,17,16.7,Right,R on L,70,Right,Some,Never,159,Metric,22.917
Male,23,22,Left,L on R,83,Left,Some,Heavy,193.04,Imperial,18.917
Female,18.5,18,Left,L on R,100,Neither,Some,Never,171,Metric,18.917
Male,21,20.4,Right,L on R,100,Right,Frequent,Heavy,184,Metric,20.083
Male,20,20,Right,R on L,80,Neither,Frequent,Occasional,,,17.5
Male,22.5,22.5,Right,L on R,76,Right,Frequent,Occasional,177,Metric,18.25
Female,18.5,18,Right,R on L,92,Right,Frequent,Never,172,Metric,17.5
Male,19.8,20,Left,L on R,59,Right,Frequent,Never,180,Metric,17.417
Male,18.5,18.1,Right,L on R,66,Left,Frequent,Never,175.26,Imperial,21
Male,19.3,19.4,Right,R on L,,Right,Frequent,Never,180.34,Imperial,19.833
Female,16,16,Right,R on L,68,Right,Frequent,Never,172.72,Imperial,17.667
Male,18.8,19.1,Right,L on R,66,Neither,Frequent,Regular,178.5,Metric,18.083
Female,17.5,17,Right,R on L,74,Right,Frequent,Never,157,Metric,18
Female,16.4,16.5,Right,L on R,90,Right,Some,Never,152,Metric,18.333
Male,22,21.5,Right,R on L,86,Right,Frequent,Never,187.96,Imperial,20
Male,19,19.5,Right,L on R,60,Right,Some,Never,178,Metric,18.75
Female,18.9,20,Right,R on L,86,Right,Some,Never,,,19.083
Female,15.4,16.4,Left,L on R,80,Left,Frequent,Occasional,160.02,Imperial,18.5
Male,17.9,17.8,Right,R on L,85,Left,Some,Never,175.26,Imperial,18.417
Male,23.1,22.5,Right,L on R,90,Right,Some,Regular,189,Metric,19.167
,19.8,19,Left,L on R,73,Neither,Frequent,Never,172,Metric,21.5
Male,22,22,Right,L on R,72,Right,Frequent,Never,182.88,Imperial,19.333
Male,20,19.5,Right,L on R,,Right,Frequent,Never,170,Metric,21.417
Female,19.5,18.5,Right,L on R,68,Right,None,Never,167,Metric,18.667
Female,18,18.6,Right,R on L,84,Right,Some,Never,175,Metric,17.5
Female,18.3,19,Right,R on L,,Right,None,Never,165,Metric,21.083
Female,19,18.8,Right,R on L,65,Right,Frequent,Never,172.72,Imperial,17.25
Male,21.4,21,Right,L on R,96,Neither,Some,Never,180,Metric,19
Female,20,19.5,Left,R on L,68,Neither,Frequent,Never,172,Metric,19.167
Male,18.5,18.5,Right,R on L,75,Neither,Some,Never,185,Metric,19
Male,22.5,22.6,Right,L on R,64,Right,Frequent,Regular,187.96,Imperial,23
Male,19.5,20.2,Right,R on L,60,Neither,Frequent,Never,185.42,Imperial,32.667
Female,18,18,Right,L on R,92,Neither,Frequent,Never,165,Metric,20
Female,18,18.5,Right,R on L,64,Neither,Frequent,Never,164,Metric,20.167
Male,21.8,22.3,Right,R on L,76,Left,Frequent,Never,195,Metric,25.5
Female,13,12.5,Right,L on R,80,Right,Frequent,Never,165,Metric,18.167
Female,16.3,16.2,Right,L on R,92,Right,Some,Regular,152.4,Imperial,23.5
Male,21.5,21.6,Right,R on L,69,Right,Frequent,Never,172.72,Imperial,70.417
Male,18.9,19.1,Right,L on R,68,Right,None,Never,180.34,Imperial,43.833
Male,20.5,20,Right,R on L,76,Right,Frequent,Never,173,Metric,23.583
Male,14,15.5,Right,L on R,,Neither,Frequent,Heavy,,,21.083
Female,18.9,19.2,Right,L on R,74,Right,Some,Never,167.64,Imperial,44.25
Male,20,20.5,Right,R on L,,Right,None,Never,187.96,Imperial,19.667
Male,18.5,19,Right,L on R,84,Right,Frequent,Regular,187,Metric,17.917
Female,17.5,17.1,Right,R on L,80,Left,None,Never,167,Metric,18.417
Male,18.1,18.2,Left,Neither,,Right,Some,Never,168,Metric,21.167
Male,20.2,20.3,Right,L on R,72,Neither,Some,Never,191.8,Imperial,17.5
Female,16.5,16.9,Right,R on L,60,Neither,Frequent,Occasional,169.2,Metric,29.083
Male,19.1,19.1,Right,Neither,,Right,Some,Never,177,Metric,19.917
Female,17.6,17.2,Right,R on L,81,Left,Some,Never,168,Metric,18.5
Female,19.5,19.2,Right,R on L,70,Right,Some,Never,170,Metric,18.167
Female,16.5,15,Right,L on R,65,Right,Some,Regular,160.02,Imperial,32.75
Male,19,18.5,Right,L on R,,Neither,Frequent,Never,189,Metric,17.417
Male,19,18.5,Right,R on L,72,Right,Frequent,Never,180.34,Imperial,17.333
Female,16.5,17,Right,L on R,,Right,Some,Never,168,Metric,73
Male,20.5,19.5,Left,L on R,80,Right,Some,Occasional,182.88,Imperial,18.667
Female,15.5,15.5,Right,Neither,50,Right,Some,Regular,,,18.5
Female,18,17.5,Right,R on L,48,Neither,Frequent,Never,165,Metric,18.667
Female,17.5,18,Right,R on L,68,Neither,Frequent,Never,157.48,Imperial,17.75
Female,19,18.5,Left,L on R,104,Left,Frequent,Never,170,Metric,17.25
Male,20.5,20.5,Right,Neither,76,Right,Frequent,Regular,172.72,Imperial,36.583
Female,16.7,17,Right,L on R,84,Left,Frequent,Never,164,Metric,23.083
Female,20.5,20.5,Right,R on L,,Left,Frequent,Regular,,,19.25
Female,17,16.5,Right,R on L,70,Right,Some,Never,162.56,Imperial,17.167
Male,19,19.5,Right,R on L,68,Right,Frequent,Occasional,172,Metric,23.417
Female,14,13.5,Right,R on L,87,Neither,Frequent,Occasional,165.1,Imperial,17.083
Female,17.5,17.6,Right,L on R,79,Right,Some,Never,162.5,Metric,17.25
Male,18.5,19,Right,L on R,70,Left,Frequent,Never,170,Metric,23.833
Male,18,18.5,Right,Neither,90,Right,Some,Never,175,Metric,18.75
Male,20.5,20.7,Right,R on L,72,Right,Some,Never,168,Metric,21.167
Female,17,17,Right,L on R,79,Right,Some,Never,163,Metric,24.667
Male,18.5,18.5,Right,R on L,65,Right,None,Never,165,Metric,18.5
Male,18,18.5,Right,R on L,62,Right,Frequent,Never,173,Metric,20.333
Male,18.5,18,Right,Neither,63,Neither,Frequent,Never,196,Metric,20.083
Male,20,19.5,Right,R on L,92,Right,Some,Never,179.1,Imperial,18.917
Male,22,22.5,Right,L on R,60,Right,Some,Never,180,Metric,27.333
Male,17.9,18.4,Right,R on L,68,Left,None,Occasional,176,Metric,18.917
Female,17.6,17.8,Right,L on R,72,Left,Some,Never,160.02,Imperial,17.25
Female,16.7,15.1,Right,Neither,,Right,None,Never,157.48,Imperial,18.167
Female,17,17.6,Right,L on R,76,Right,Some,Never,165,Metric,26.5
Female,15,13,Right,R on L,80,Neither,Frequent,Never,170.18,Imperial,17
Male,16,15.5,Right,Neither,71,Right,Frequent,Never,154.94,Imperial,17.167
Female,19.1,19,Right,R on L,80,Right,Some,Occasional,170,Metric,19.167
Female,17.5,16.5,Right,R on L,80,Neither,Some,Never,164,Metric,17.5
Female,16.2,15.8,Right,R on L,61,Right,Some,Occasional,167,Metric,19.25
Male,21,21,Right,L on R,48,Neither,Frequent,Never,174,Metric,21.333
Female,18.8,17.8,Right,R on L,76,Right,Some,Never,,,18.583
Female,18.5,18,Right,Neither,86,Right,None,Never,160,Metric,20.167
Male,17,17.5,Right,R on L,80,Right,Some,Regular,179.1,Metric,18.667
Female,17.5,17,Right,R on L,83,Neither,Frequent,Occasional,168,Metric,17.083
Female,17.5,17.6,Right,L on R,76,Right,Some,Never,153.5,Metric,17.417
Male,17.5,17.6,Right,R on L,84,Right,Some,Never,160,Metric,18.583
Male,17.5,17,Left,L on R,97,Neither,None,Never,165,Metric,19.5
Female,20.8,20.7,Right,R on L,,Neither,Frequent,Never,171.5,Metric,18.5
Female,18.6,18.6,Right,L on R,74,Right,Some,Never,160,Metric,17.167
Female,17.5,17.5,Left,R on L,83,Neither,Some,Never,163,Metric,17.25
Male,18,18.5,Right,R on L,78,Right,Frequent,Never,,,17.5
Male,17,17.5,Right,R on L,65,Right,Some,Never,165,Metric,20.417
Female,18,17.8,Right,L on R,68,Right,Some,Never,168.9,Imperial,17.083
Male,19.5,20,Right,Neither,,Right,Some,Never,170,Metric,21.25
Female,16.3,16.2,Right,L on R,,Right,None,Never,,,19.25
Male,18.2,19.8,Right,R on L,88,Right,Frequent,Never,185,Metric,19.333
Female,17,17.3,Right,L on R,,Neither,Frequent,Never,173,Metric,19.167
Male,23.2,23.2,Right,L on R,75,Right,Frequent,Never,188,Metric,18.917
Male,23.2,23.3,Right,L on R,,Right,None,Heavy,171,Metric,20.917
Female,15.9,16.5,Right,R on L,70,Right,Frequent,Never,167.64,Imperial,17.333
Female,17.5,18.4,Right,R on L,88,Right,Some,Never,162.56,Imperial,18.167
Female,17.5,17.6,Right,L on R,,Right,Frequent,Never,150,Metric,20.75
Female,17.6,17.2,Right,L on R,,Right,Some,Never,,,19.917
Female,17.5,17.8,Right,R on L,96,Right,Some,Never,,,18.667
Female,18.8,18.3,Right,R on L,80,Right,Some,Heavy,170.18,Imperial,18.417
Male,20,19.8,Right,L on R,68,Right,Frequent,Never,185,Metric,17.417
Female,18.6,18.8,Right,L on R,70,Right,Frequent,Regular,167,Metric,20.333
Male,18.6,19.6,Right,L on R,71,Right,Frequent,Occasional,185,Metric,19.333
Female,18.8,18.5,Right,R on L,80,Right,Some,Never,169,Metric,18.167
Male,18,16,Right,R on L,,Right,Some,Never,180.34,Imperial,20.75
Female,18,18,Right,L on R,85,Right,Some,Never,165.1,Imperial,17.667
Female,18.5,18,Right,L on R,88,Right,Some,Never,160,Metric,16.917
Female,17.5,16.5,Right,R on L,,Right,Some,Never,170,Metric,18.583
Male,21,21.5,Right,R on L,90,Right,Some,Never,183,Metric,17.167
Female,17.6,17.3,Right,R on L,85,Right,Frequent,Never,168.5,Metric,17.75
